,date,1. open,2. high,3. low,4. close,5. volume
SFM,2014-11-28,29.24,32.36,29.214,31.79,28627784.0
SFM,2014-10-31,29.04,30.04,27.17,29.11,21273036.0
SFM,2014-09-30,30.97,31.96,29.01,29.07,18306598.0
SFM,2014-08-29,30.6,32.91,29.1,30.94,37214400.0
SFM,2014-07-31,32.75,33.18,30.3,30.51,19519200.0
SFM,2014-06-30,27.13,32.93,26.6,32.72,30207200.0
SFM,2014-05-30,32.05,32.296,25.73,27.1,38558400.0
SFM,2014-04-30,36.06,38.35,31.521,31.97,16183700.0
SFM,2014-03-31,38.35,39.715,33.92,36.03,23144200.0
SFM,2014-02-28,35.55,39.98,34.04,38.971,16631300.0
SFM,2014-01-31,38.18,40.09,34.501,35.74,16281400.0
SFM,2013-12-31,38.0,38.61,35.58,38.43,17008300.0
SFM,2013-11-29,45.95,48.95,36.11,37.84,24064600.0
SFM,2013-10-31,44.21,49.45,42.11,46.06,9786400.0
SFM,2013-09-30,37.66,46.313,36.5,44.39,8902000.0
NSIT,2024-11-25,174.81,181.145,146.56,154.97,8739909.0
NSIT,2024-10-31,214.02,225.3825,174.02,174.92,5852847.0
NSIT,2024-09-30,215.15,217.98,191.25,215.39,4438904.0
NSIT,2024-08-30,221.69,222.95,171.275,217.07,5421809.0
NSIT,2024-07-31,198.38,228.07,193.75,224.5,3484164.0
NSIT,2024-06-28,195.67,208.54,193.79,198.36,3953680.0
NSIT,2024-05-31,181.81,212.44,170.6299,195.5,4793328.0
NSIT,2024-04-30,185.56,189.1,179.4575,182.57,4137904.0
NSIT,2024-03-28,188.64,191.49,182.07,185.52,5364914.0
NSIT,2024-02-29,184.94,194.57,168.31,188.0,5990426.0
NSIT,2024-01-31,177.27,194.17,173.37,184.74,4083809.0
NSIT,2023-12-29,151.4,186.16,151.4,177.19,6839621.0
NSIT,2023-11-30,143.06,152.22,139.34,151.42,3869483.0
NSIT,2023-10-31,145.19,151.73,140.06,143.3,3557310.0
NSIT,2023-09-29,160.99,161.78,144.83,145.5,4039522.0
NSIT,2023-08-31,146.02,162.05,131.59,160.09,4197345.0
NSIT,2023-07-31,145.8,151.945,141.99,146.69,4334652.0
NSIT,2023-06-30,134.97,147.23,134.12,146.34,6587291.0
NSIT,2023-05-31,120.66,137.28,117.99,135.22,6562721.0
NSIT,2023-04-28,142.5,144.84,118.075,120.95,8020185.0
NSIT,2023-03-31,133.38,143.15,132.685,142.96,6700225.0
NSIT,2023-02-28,112.06,134.685,111.32,133.92,5986610.0
NSIT,2023-01-31,100.58,112.78,100.219,112.72,3741959.0
NSIT,2022-12-30,104.02,104.405,95.01,100.27,4636878.0
NSIT,2022-11-30,94.99,105.37,90.685,103.91,6542427.0
NSIT,2022-10-31,82.94,95.46,82.44,94.51,5076194.0
NSIT,2022-09-30,90.23,90.23,81.105,82.41,7308831.0
NSIT,2022-08-31,92.9,96.75,89.945,91.12,4899650.0
NSIT,2022-07-29,85.61,94.95,82.495,93.41,4379815.0
NSIT,2022-06-30,99.4,104.44,84.61,86.28,8085989.0
NSIT,2022-05-31,99.29,103.83,92.61,98.82,5578833.0
NSIT,2022-04-29,107.17,108.07,97.9328,99.37,3596883.0
